               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.012421,            0.008634,            0.011236,             0.98879,             0.99795,             0.99318,             0.88188,           0.0036807,            0.002453,          0.00024801,            0.006535,            0.006535,            0.006535
                  37,            0.012349,           0.0085511,             0.01044,              0.9865,             0.99606,              0.9924,             0.88116,           0.0035543,           0.0024333,          0.00031915,            0.006436,            0.006436,            0.006436
                  38,            0.012059,           0.0085292,            0.011278,             0.99428,              0.9957,             0.99348,             0.88461,            0.003447,            0.002402,          0.00024105,            0.006337,            0.006337,            0.006337
                  39,             0.01246,           0.0086931,            0.011362,             0.99507,             0.99647,             0.99364,             0.88337,           0.0035547,           0.0023641,          0.00023763,            0.006238,            0.006238,            0.006238
                  40,            0.012103,           0.0085928,            0.011194,             0.99165,             0.99656,             0.99301,             0.88853,            0.003389,           0.0024032,          0.00025998,            0.006139,            0.006139,            0.006139
                  41,            0.011909,           0.0084504,            0.010198,             0.99555,             0.99288,             0.99332,              0.8831,           0.0034639,           0.0023893,          0.00020496,             0.00604,             0.00604,             0.00604
                  42,            0.011756,           0.0084575,            0.010083,             0.98885,             0.99875,             0.99341,              0.8865,           0.0034744,           0.0024137,          0.00023494,            0.005941,            0.005941,            0.005941
                  43,            0.011569,           0.0084416,           0.0095587,             0.99018,             0.99852,             0.99347,             0.88712,           0.0034335,           0.0023901,          0.00021252,            0.005842,            0.005842,            0.005842
                  44,            0.011793,           0.0083343,            0.010163,              0.9909,             0.99571,             0.99274,             0.89174,           0.0033588,           0.0023488,           0.0002242,            0.005743,            0.005743,            0.005743
                  45,            0.011906,           0.0085345,             0.01029,             0.98877,             0.99608,             0.99277,             0.88803,           0.0033414,           0.0023686,          0.00022861,            0.005644,            0.005644,            0.005644
                  46,            0.011552,           0.0085087,            0.009523,             0.99103,             0.99757,              0.9934,             0.88792,           0.0034087,            0.002414,          0.00017399,            0.005545,            0.005545,            0.005545
                  47,            0.011588,           0.0083342,            0.010173,             0.99336,             0.99708,             0.99344,             0.89126,           0.0032963,           0.0023406,          0.00017157,            0.005446,            0.005446,            0.005446
                  48,            0.011275,            0.008426,           0.0089095,             0.99032,             0.99833,             0.99277,              0.8928,           0.0033049,           0.0023533,          0.00018666,            0.005347,            0.005347,            0.005347
                  49,            0.011474,           0.0084255,            0.009504,             0.99012,             0.99853,             0.99335,             0.89106,           0.0033126,           0.0023692,          0.00022277,            0.005248,            0.005248,            0.005248
                  50,            0.011442,           0.0083563,            0.009303,             0.98997,             0.99629,             0.99359,             0.89287,           0.0032379,           0.0023142,          0.00020481,            0.005149,            0.005149,            0.005149
                  51,            0.011053,           0.0082772,           0.0084678,             0.99187,             0.99765,             0.99346,             0.89524,           0.0032128,           0.0023184,          0.00017353,             0.00505,             0.00505,             0.00505
                  52,             0.01124,           0.0083357,           0.0087963,             0.99043,             0.99647,              0.9934,             0.89842,           0.0031988,           0.0022855,           0.0001868,            0.004951,            0.004951,            0.004951
                  53,            0.011375,           0.0081865,           0.0086488,             0.99138,             0.99667,              0.9934,             0.89504,           0.0032166,           0.0022934,          0.00013023,            0.004852,            0.004852,            0.004852
                  54,            0.011152,           0.0081201,            0.008419,             0.98938,             0.99867,             0.99344,             0.89428,            0.003194,           0.0023068,          0.00014027,            0.004753,            0.004753,            0.004753
                  55,            0.010923,           0.0081986,           0.0084107,             0.99122,             0.99866,             0.99379,             0.89725,           0.0031604,           0.0022499,          0.00013518,            0.004654,            0.004654,            0.004654
                  56,            0.010873,           0.0081311,           0.0080108,               0.991,             0.99719,              0.9934,             0.89638,           0.0031608,           0.0022803,          0.00014898,            0.004555,            0.004555,            0.004555
                  57,            0.010812,           0.0081352,           0.0078274,             0.99097,             0.99639,             0.99349,             0.90142,           0.0030943,           0.0022433,          0.00014796,            0.004456,            0.004456,            0.004456
                  58,            0.010847,           0.0080352,            0.007355,             0.99238,             0.99403,             0.99338,             0.89707,            0.003183,           0.0023048,          0.00013636,            0.004357,            0.004357,            0.004357
                  59,            0.010607,           0.0079667,            0.007834,              0.9909,             0.99833,             0.99335,             0.89952,           0.0031411,           0.0022644,          0.00014005,            0.004258,            0.004258,            0.004258
                  60,            0.010765,           0.0079438,           0.0072164,             0.99187,             0.99842,             0.99344,             0.90067,           0.0030778,           0.0022645,           0.0001474,            0.004159,            0.004159,            0.004159
                  61,            0.010696,           0.0080793,           0.0075667,             0.99353,             0.99679,             0.99316,             0.90124,           0.0030715,           0.0022661,          0.00012098,             0.00406,             0.00406,             0.00406
                  62,            0.010492,           0.0079244,           0.0071106,              0.9904,             0.99833,             0.99342,             0.89934,           0.0031179,           0.0022686,          0.00013132,            0.003961,            0.003961,            0.003961
                  63,            0.010429,           0.0081348,           0.0077934,             0.99128,              0.9987,              0.9936,             0.90085,           0.0030701,           0.0022293,          0.00013328,            0.003862,            0.003862,            0.003862
                  64,            0.010359,           0.0079071,           0.0070599,             0.99329,             0.99837,             0.99362,             0.90277,           0.0030532,           0.0023155,          0.00011554,            0.003763,            0.003763,            0.003763
                  65,            0.010452,           0.0078255,           0.0071968,             0.99261,             0.99833,             0.99337,             0.90281,           0.0030349,           0.0022322,           9.624e-05,            0.003664,            0.003664,            0.003664
                  66,             0.01049,           0.0079238,           0.0070731,             0.99161,             0.99791,             0.99337,             0.90114,            0.003051,           0.0022213,          9.2814e-05,            0.003565,            0.003565,            0.003565
                  67,            0.010181,           0.0077892,            0.006645,             0.99264,             0.99846,             0.99344,             0.90408,           0.0030356,           0.0022101,          8.8273e-05,            0.003466,            0.003466,            0.003466
